v1,id,text,label,type,model_wrong,db_model_preds,status,round,split,annotator
3019,13811,I can not differentiate between a white woman and a white rabbit,hate,notgiven,TRUE,0.99665,dynabench entry,1,train,vde7gn0nrl
29992,33411,"Are you scared only of only black men? Or black women and children also? My personal experiences with blacks so far have not been negative, so no, I don't share your view.",nothate,none,FALSE,0.99991,dynabench entry,3a,train,gnzuctwed3
29777,33278p,"Exactly. Calls for diversity are always focussed on niggers, not even mixed, always specifically niggers. Niggers are 3% of the population in england.",hate,derogation,,,perturbation,3b,dev,htrmsp3kik
37617,6591,"I am fed up with this black live matters batshit, honestly",hate,notgiven,FALSE,0.09626,dynabench entry,1,train,trrf46jwfp
2790,13579,The UK is full of lazy Camel Crunchers,hate,notgiven,FALSE,0.42778,dynabench entry,1,train,trrf46jwfp
39036,8189,This man is damn cute,nothate,none,FALSE,0.98676,dynabench entry,1,train,vde7gn0nrl
9692,21532,I hate black cabs,nothate,none,FALSE,0.99974,dynabench entry,2a,train,gnzuctwed3
31380,34338p,"Don't be confused! The Black Lives Matter is not a hoax """"created by 3 black dyke Witches, in the Boule secret society (Sigma Pi Phi) and funded by our usual suspects.......""""",nothate,none,,,perturbation,3b,dev,ibsvsbliwx
14237,23852,It estimates that the deaths of black Africans are 3.7 times higher than might be expected by geography and age,nothate,none,FALSE,0.99976,dynabench entry,2a,train,qiokkci7f8
15234,24340p,My teacher don't understand me,nothate,none,,,perturbation,2b,train,cagnluiznm
27233,3189,trans people should not have rights,hate,notgiven,TRUE,0.99698,dynabench entry,1,train,elgzdd8tvb
24237,29468,oh fuck off you cunt,nothate,none,TRUE,0.04555,dynabench entry,2a,test,qiokkci7f8
9147,21254p,you should be playing basketball and not cricket as you are black chimp,hate,derogation,,,perturbation,2b,dev,trrf46jwfp
30605,33751,"I touch myself everytime that """"help me help me help me"""" arab gets her stupid Niqab blown off.",hate,animosity,FALSE,0.01185,dynabench entry,3a,train,qiokkci7f8
29047,32888,Women should never be allowed to vote in elections or participate anywhere in the legal process. This is because men build and women destroy.,hate,derogation,FALSE,1e-05,dynabench entry,3a,train,cagnluiznm
8039,20685,"I'm so proud of my striaght son, there are so many deviants these days",hate,derogation,FALSE,0.00049,dynabench entry,2a,train,gnzuctwed3
13590,23533,it is awful that i do not feel safe as a jewish man,nothate,none,TRUE,0.04479,dynabench entry,2a,train,qiokkci7f8
24605,29648p,I can't agree more when some people think all Muslims should be deported!,hate,derogation,,,perturbation,2b,train,tbubpfn6ip
6264,19748,There seem to be less black people in this area,nothate,none,TRUE,0.00033,dynabench entry,2a,train,qiokkci7f8
18043,25769,"it is not easy to say, and do not come for me in the comments as this country allows free speech so I am allowed to express my opinion and dislike toward lesbos, so leave me alone as they should not be allowed to exist, thats just how I feel",hate,derogation,TRUE,0.68235,dynabench entry,2a,train,elgzdd8tvb
29461,33102p,"Racism has been going on for years. All Arab Americans have been fighting this stigma for 20 years. But, its unfortunate this's the life we live in. But, as we can't stop the hate against Muslims, i guess we'll have to keep promoting it lol",hate,threatening,,,perturbation,3b,train,e3dsmnspob
28891,32809,This boy was just doing his duty as an American citizen. Now he is being persecuted by a infiltrated and hostile government who came up with a stack of phony charges,nothate,none,FALSE,0.99803,dynabench entry,3a,train,trrf46jwfp
41,10042,pear is not tasty,nothate,none,FALSE,0.99483,dynabench entry,1,train,vde7gn0nrl
14480,23969p,l3zv0z better look out! Its gay pride next week! #proudlesbian,nothate,none,,,perturbation,2b,train,tbubpfn6ip
40268,9513,this bottle is so awful I wanna die,nothate,none,TRUE,0.164,dynabench entry,1,train,oemywm1tjg
7334,20312p,"""""H e r m i e s 4r3 w e i r d o s"""" was written on the wall, some people are so horrible",nothate,none,,,perturbation,2b,train,elgzdd8tvb
28568,32631,"""""Fuck you & fuck your family""""<9d> this was the moment a group of men just attempted to intimidate & threaten me, I was sat at a table with 5 children. Hardly makes you a gangsta when theirs a group of 7 men, my children were shaken up by it as the lad said he was going to put holes in me, he also recorded all my children's images.",nothate,none,FALSE,0.99987,dynabench entry,3a,dev,oemywm1tjg
11525,22488,there is fucking corona in our neighbourhood!,nothate,none,FALSE,0.99783,dynabench entry,2a,train,gnzuctwed3
12353,22894p,Asians are scum,hate,dehumanization,,,perturbation,2b,train,qiokkci7f8
6182,19705,foreigners never wash,hate,derogation,FALSE,0.00035,dynabench entry,2a,train,gnzuctwed3
33591,39997p,oh wow its that slut farting gone stinky,hate,animosity,,,perturbation,3b,train,oemywm1tjg
21876,28143p,there are a lot more rude fadis in this area compared with where i used to live,hate,derogation,,,perturbation,2b,dev,e3dsmnspob
40000,9233,latinos should not marry out of their race,hate,notgiven,TRUE,0.97608,dynabench entry,1,dev,oemywm1tjg
9690,21531,don't call this piece of shit of a portrait a fucking masterpiece,nothate,none,TRUE,0.00796,dynabench entry,2a,train,lqlkttromx
19803,26988p,I know of a few indigenous families and they're all scum,hate,dehumanization,,,perturbation,2b,dev,gnzuctwed3
9376,21371,I love the idea of killing every single Asian woman,hate,threatening,TRUE,0.99946,dynabench entry,2a,train,e3dsmnspob
26575,31534p,"YOU REALLY THINK THAT ALL LIVES MATTER! THE LOW INTELLIGENCE, LAZY, TRASH OUT LOOTING, BURNING AND DESTROYING YOUR COMMUNITIES ARE NOT AN EXAMPLE OF WHAT BLM STANDS FOR. THEY HAVE NOTHING TO DO WITH THE BLACK COMMUNITY. THE INTELLIGENT FOLKS KNOW YOU ARE A IMPOSTERS. JUST ON A LARGER SCALE THAN MOST OTHERS.",nothate,none,,,perturbation,3b,test,ibsvsbliwx
21024,27676p,"Those who do not have ancestral roots in arabia, are those who are do not understand",nothate,none,,,perturbation,2b,train,elgzdd8tvb
14457,23958p,g4!s beware of these homophobes,nothate,none,,,perturbation,2b,dev,gnzuctwed3
6015,17584,Mozzies are unwelcome in this night club,hate,notgiven,TRUE,0.99303,dynabench entry,1,train,vde7gn0nrl
28865,32795,"It is always the same, our tax payer money we give to the government by providing 'social programs' for these faggots is wasted because the loser killed himself. Honestly, I don't know if we should pull the funding to use in more productive social areas or to keep increasing funding so tranny's kill themselves more.",hate,derogation,FALSE,1e-05,dynabench entry,3a,train,e3dsmnspob
26901,31716p,"Yes women should be lonely. Pretty women should feel lonely. These sluts can be surrounded by the """"attention"""" of 20 men and STILL be lonely. Hint: because more often than not, it's not real attention. It's fleeting, momentary, empty, and baseless. It will be gone. Very soon. Maybe by the night's end.",hate,derogation,,,perturbation,3b,dev,htrmsp3kik
12101,22773p,"I hate black cats, they are bad luck. Let's hope they all live with gay people.",hate,derogation,,,perturbation,2b,test,lqlkttromx
15204,24323p,people who do not play online games don't understand shit,nothate,none,,,perturbation,2b,dev,trrf46jwfp
5074,16623,Lesbos are vicious,hate,notgiven,FALSE,0.11942,dynabench entry,1,train,trrf46jwfp
32674,39491,"Claire, stop MOANING about your periods!!!!! We all have them and get on with it. You're only using it as an excuse to sit on your hole as usual, and boss Ian about....Seriously, its not funny or entertaining and no one gives a shit so SHUT THE F#CK UPðŸ™„",nothate,none,FALSE,0.99992,dynabench entry,3a,train,qiokkci7f8
16207,24841,this black phone is fucking shit!,nothate,none,FALSE,0.99974,dynabench entry,2a,train,oemywm1tjg
25623,30301,"you fucking disgust me Bobby! Look at the mess you made, filthy dog!",nothate,none,FALSE,0.85398,dynabench entry,2a,train,trrf46jwfp
14269,23867p,Saw some terrible news today - PHE found that Chinese people are two to three times more likely to have been diagnosed with Covid-19 compared to White people,nothate,none,,,perturbation,2b,train,tbubpfn6ip
14341,23903,"How fuckin sad. Food is not a luxury its a human right!! To think these kids are just 3 out of thousands in poverty. It truly is a sad time we are living in. Fuck the tories big time, money grabbing bastards",nothate,none,FALSE,0.99962,dynabench entry,2a,train,cagnluiznm
23258,28935,lets talk about the antithesis of intelligence: disabled people,hate,derogation,FALSE,0.06043,dynabench entry,2a,train,e3dsmnspob
24622,29656p,burglars keep out,nothate,none,,,perturbation,2b,test,trrf46jwfp
35051,46455,Gates does in fact hate ngrs. Can you imagine how many millions he's killed testing his vaccines so far. but this is just more hopium... Like from Q's brother NF.,hate,derogation,TRUE,0.99895,dynabench entry,3a,train,gnzuctwed3
14545,24000,she should be banned from life,nothate,none,TRUE,0.00105,dynabench entry,2a,dev,e3dsmnspob
17472,25467,would you like to be called a dyke? Then stop using that fucking word,nothate,none,FALSE,0.90108,dynabench entry,2a,train,e3dsmnspob
12100,22773,"I hate black cats, they are bad luck",nothate,none,FALSE,0.99975,dynabench entry,2a,train,gnzuctwed3
40618,9869,mussies cannot be trusted,hate,notgiven,FALSE,0.03378,dynabench entry,1,test,cagnluiznm
34798,44039,So I commend robocop for making this anti-faggot guild. None of these faggots will learn how broken this system is until their guilds are destroyed.,hate,derogation,FALSE,0.00069,dynabench entry,3a,dev,tbubpfn6ip
38219,7280,All blacks should be s h o t,hate,notgiven,FALSE,0.0417,dynabench entry,1,train,cagnluiznm
20539,27367p,i am yet to meet a thoughtful refugee,hate,animosity,,,perturbation,2b,train,e3dsmnspob
17428,25445,would you like to be called a bumder? Then stop using that fucking word,nothate,none,TRUE,0.02724,dynabench entry,2a,train,e3dsmnspob
31609,34460,"lets just try: If men tried to force women to wear the ass floss and skin tight Spandex they WILLINGLY wear in public now, just imagine the SCREAMING and CATERWAULING of victimization from the highest mountaintop we would all be hearing?!?! In response, the burka would become high fashion",hate,derogation,TRUE,0.97679,dynabench entry,3a,train,vde7gn0nrl
37083,5926,"If my daughter told me that she wants to be a boy I'd disown her, no question",hate,notgiven,TRUE,0.94861,dynabench entry,1,test,gnzuctwed3
21133,27734,they are such ignorant cunts,nothate,none,TRUE,0.11756,dynabench entry,2a,train,qiokkci7f8
30642,33770,There is two genders: male and female. Its not fucking rocket science.,hate,animosity,TRUE,0.96795,dynabench entry,3a,train,qiokkci7f8
37632,6607,i'm not sorry i got your pronoun wrong because you have a cock so you're a guy,hate,notgiven,FALSE,0.03998,dynabench entry,1,train,cagnluiznm
33822,4305,women are inferior,hate,notgiven,FALSE,0.35231,dynabench entry,1,train,elgzdd8tvb
18952,26539p,"this is getting out of hand now, I have had 5 arguments today already just because I merely expressed my opinion, just because you think liberals should win the election doesn't mean I do, of course I dont and I dont see why anyone would. This is so silly and is starting to exhaust me now",nothate,none,,,perturbation,2b,train,oemywm1tjg
11335,22388p,I don't like it when people accept trans as friends.,hate,derogation,,,perturbation,2b,train,trrf46jwfp
16637,25052p,immigrants - their existence is one of the reasons why my life sucks,hate,derogation,,,perturbation,2b,train,tbubpfn6ip
26866,31694,"Racism will never end, do you know why? Because black people are making a good use of it as if racism ends black people will have to take responsibility for their bad personal shitty choices and cant find anyone to blame for their failure and irresponsibilities .. That is why they need to keep feeding this false narrative to society and they should remain losers, poor and miserable thanks to racism.",hate,derogation,TRUE,0.99941,dynabench entry,3a,train,vde7gn0nrl
